youtube_url,technique_type,plant,use_case,short_term,mid_term,long_term
https://youtu.be/cVMF3IJMGSU?si=pG4K4XLJFleLJ97u,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/cVMF3IJMGSU?si=pG4K4XLJFleLJ97u,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/cVMF3IJMGSU?si=pG4K4XLJFleLJ97u,screening,berms,physical screening structure,False,False,False
https://youtu.be/cVMF3IJMGSU?si=pG4K4XLJFleLJ97u,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/cVMF3IJMGSU?si=pG4K4XLJFleLJ97u,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/cVMF3IJMGSU?si=pG4K4XLJFleLJ97u,screening,sorghum,annual screening,False,False,False
https://youtu.be/J2QTar3QS70?si=FGnxxbLJM25DxiSg,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/J2QTar3QS70?si=FGnxxbLJM25DxiSg,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/J2QTar3QS70?si=FGnxxbLJM25DxiSg,screening,conifers,long-term screening,False,False,True
https://youtu.be/J2QTar3QS70?si=FGnxxbLJM25DxiSg,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/J2QTar3QS70?si=FGnxxbLJM25DxiSg,screening,miscanthus grass,perennial screening grass,False,False,True
https://youtu.be/J2QTar3QS70?si=FGnxxbLJM25DxiSg,screening,sorghum,annual screening,False,False,False
https://youtu.be/sZyGbLpiUqs?si=b6PDVOQ5SjVq7l1u,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/_Meq3TKP_2M?si=DbPeuZ7tBunH-WvT,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/_Meq3TKP_2M?si=DbPeuZ7tBunH-WvT,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/_Meq3TKP_2M?si=DbPeuZ7tBunH-WvT,screening,sorghum,annual screening,False,False,False
https://youtu.be/rj73QyIKefw?si=UZ3DYtdyWQQabb7c,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/rj73QyIKefw?si=UZ3DYtdyWQQabb7c,screening,conifers,long-term screening,False,False,True
https://youtu.be/rj73QyIKefw?si=UZ3DYtdyWQQabb7c,screening,berms,physical screening structure,False,False,False
https://youtu.be/rj73QyIKefw?si=UZ3DYtdyWQQabb7c,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/rj73QyIKefw?si=UZ3DYtdyWQQabb7c,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/rj73QyIKefw?si=UZ3DYtdyWQQabb7c,screening,miscanthus grass,perennial screening grass,False,False,True
https://youtu.be/rj73QyIKefw?si=UZ3DYtdyWQQabb7c,screening,access screening,hunter access concealment,False,False,False
https://youtu.be/xF8LJ1wzbZ0?si=AXjYJtyC7cgQI_ul,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/kuMoSpdkeg4?si=zpCycMEsQ1f3MJml,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/HhL3xuAzdgQ?si=zrPpoxbewhpC-8k3,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/Ja9xWr2-vzk?si=q2cnBH1IVEra_1oJ,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/Ja9xWr2-vzk?si=q2cnBH1IVEra_1oJ,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/GAQcPNzJXNQ?si=zyipUnJ90prBZVT7,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/BzMAaAUW_AE?si=rQvKhTCHINmD-aOB,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/wBxy1-HU4js?si=6U5QRtWdYBXLq0K0,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,conifers,long-term screening,False,False,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,berms,physical screening structure,False,False,False
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,sorghum,annual screening,False,False,False
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,access screening,hunter access concealment,False,False,False
https://youtu.be/kLuZRtLMthU?si=v8Fy4jTIro1Vf56y,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/kLuZRtLMthU?si=v8Fy4jTIro1Vf56y,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/O9w0j2GUL5c?si=eHaXoiF-JTry9ycJ,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/AGJ_Jrb1Xw4?si=JxsjjhXlekR-A-EX,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,conifers,long-term screening,False,False,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,miscanthus grass,perennial screening grass,False,False,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,sorghum,annual screening,False,False,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,berms,physical screening structure,False,False,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,sorghum,annual screening,False,False,False
